00785, +18.01882,-66.79560,P,GUAYAMA,72
00786, +18.12809,-66.26871,P,LA PLATA,72
00791, +18.13802,-65.78849,,HUMACAO,72
00792, +18.13802,-65.78849,P,HUMACAO,72
00794, +18.20089,-66.30723,,BARRANQUITAS,72
00795, +17.99736,-66.49321,,JUANA DIAZ,72
00801, +18.32228,-64.96371,P,ST THOMAS,78
00802, +18.32228,-64.96371,,ST THOMAS,78
00803, +18.32228,-64.96371,P,ST THOMAS,78
00804, +18.32228,-64.96371,P,ST THOMAS,78
00805, +18.32228,-64.96371,P,ST THOMAS,78
00820, +17.73421,-64.73469,,CHRISTIANSTED,78
00821, +17.73421,-64.73469,P,CHRISTIANSTED,78
00822, +17.73421,-64.73469,P,CHRISTIANSTED,78
00823, +17.73421,-64.73469,P,CHRISTIANSTED,78
00824, +17.73421,-64.73469,P,CHRISTIANSTED,78
00830, +18.32816,-64.74073,,ST JOHN,78
00831, +18.32816,-64.74073,P,ST JOHN,78
00840, +17.73421,-64.73469,,FREDERIKSTED,78
00841, +17.73421,-64.73469,P,FREDERIKSTED,78
00850, +17.73421,-64.73469,,KINGSHILL,78
00851, +17.73421,-64.73469,P,KINGSHILL,78
00901, +18.46590,-66.10356,,SAN JUAN,72
00902, +18.41046,-66.06053,P,SAN JUAN,72
00906, +18.41046,-66.06053,P,SAN JUAN,72
00907, +18.45164,-66.07700,,SAN JUAN,72
00908, +18.41046,-66.06053,P,SAN JUAN,72
00909, +18.44338,-66.06813,,SAN JUAN,72
00910, +18.41046,-66.06053,P,SAN JUAN,72
00911, +18.45082,-66.05785,,SAN JUAN,72
00912, +18.44418,-66.05985,,SAN JUAN,72
00913, +18.45073,-66.04335,,SAN JUAN,72
00914, +18.41046,-66.06053,P,SAN JUAN,72
00915, +18.43789,-66.04808,,SAN JUAN,72
00916, +18.41046,-66.06053,P,SAN JUAN,72
00917, +18.42201,-66.05060,,SAN JUAN,72
00918, +18.41906,-66.06231,,SAN JUAN,72
00919, +18.41046,-66.06053,P,SAN JUAN,72
00920, +18.40680,-66.09188,,SAN JUAN,72
00921, +18.39042,-66.06612,,SAN JUAN,72
00922, +18.41046,-66.06053,P,SAN JUAN,72
00923, +18.41077,-66.03670,,SAN JUAN,72
00924, +18.39639,-66.01146,,SAN JUAN,72
00925, +18.40105,-66.04977,,SAN JUAN,72
00926, +18.36937,-66.06280,,SAN JUAN,72
00927, +18.38517,-66.07195,,SAN JUAN,72
00928, +18.41046,-66.06053,P,SAN JUAN,72
00929, +18.41046,-66.06053,P,SAN JUAN,72
00930, +18.41046,-66.06053,P,SAN JUAN,72
00931, +18.41046,-66.06053,P,SAN JUAN,72
00933, +18.41046,-66.06053,P,SAN JUAN,72
00934, +18.34487,-66.16601,P,FORT BUCHANAN,72
00935, +18.41046,-66.06053,U,SAN JUAN,72
00936, +18.41046,-66.06053,P,SAN JUAN,72
00937, +18.41046,-66.06053,P,SAN JUAN,72
00938, +18.41046,-66.06053,,SAN JUAN,72
00939, +18.41046,-66.06053,P,SAN JUAN,72
00940, +18.41046,-66.06053,P,SAN JUAN,72
00949, +18.43191,-66.19969,,TOA BAJA,72
00950, +18.45776,-66.19650,P,TOA BAJA,72
00951, +18.45776,-66.19650,P,TOA BAJA,72
00952, +18.45776,-66.19650,,SABANA SECA,72
00953, +18.35679,-66.25701,,TOA ALTA,72
00954, +18.35893,-66.25810,P,TOA ALTA,72
00955, +18.41046,-66.06053,P,SAN JUAN,72
00956, +18.32670,-66.17417,,BAYAMON,72
00957, +18.36664,-66.18390,,BAYAMON,72
00958, +18.34487,-66.16601,P,BAYAMON,72
00959, +18.38705,-66.15904,,BAYAMON,72
00960, +18.34487,-66.16601,P,BAYAMON,72
00961, +18.41319,-66.16865,,BAYAMON,72
00962, +18.43764,-66.14040,,CATANO,72
00963, +18.44321,-66.13929,P,CATANO,72
00965, +18.42878,-66.11539,,GUAYNABO,72
00966, +18.39681,-66.11488,,GUAYNABO,72
00968, +18.41046,-66.06053,,GUAYNABO,72
00969, +18.36232,-66.11372,,GUAYNABO,72
00970, +18.35914,-66.11229,P,GUAYNABO,72
00971, +18.30942,-66.11360,,GUAYNABO,72
00975, +18.41046,-66.06053,U,SAN JUAN,72
00976, +18.33813,-65.98922,,TRUJILLO ALTO,72
00977, +18.33700,-65.99009,P,TRUJILLO ALTO,72
00978, +18.33700,-65.99009,P,ST JUST,72
00979, +18.41046,-66.06053,,CAROLINA,72
00981, +18.41046,-66.06053,,CAROLINA,72
00982, +18.41046,-66.06053,,CAROLINA,72
00983, +18.41345,-65.97765,,CAROLINA,72
00984, +18.39335,-65.97249,P,CAROLINA,72
00985, +18.34574,-65.93888,,CAROLINA,72
00986, +18.39335,-65.97249,P,CAROLINA,72
00987, +18.37346,-65.95993,,CAROLINA,72
00988, +18.39335,-65.97249,P,CAROLINA,72
01001, +42.14054,-72.78866,,AGAWAM,25
01002, +42.36709,-72.46457,,AMHERST,25
01003, +42.36956,-72.63599,P,AMHERST,25
01004, +42.38449,-72.51318,P,AMHERST,25
01005, +42.32916,-72.13946,,BARRE,25
01007, +42.28026,-72.40205,,BELCHERTOWN,25
01008, +42.17783,-72.95835,,BLANDFORD,25
01009, +42.20609,-72.34048,P,BONDSVILLE,25
01010, +42.10858,-72.20448,,BRIMFIELD,25
01011, +42.29425,-72.95277,,CHESTER,25
01012, +42.39227,-72.82560,,CHESTERFIELD,25
01013, +42.16149,-72.66734,,CHICOPEE,25
01014, +42.17073,-72.60484,P,CHICOPEE,25
01020, +42.17749,-72.56256,,CHICOPEE,25
01021, +42.17073,-72.60484,P,CHICOPEE,25
01022, +42.19339,-72.55436,,CHICOPEE,25
01026, +42.42861,-72.90984,,CUMMINGTON,25
01027, +42.36830,-72.76883,,EASTHAMPTON,25
01028, +42.06200,-72.49874,,EAST LONGMEADOW,25
01029, +42.19090,-73.05166,P,EAST OTIS,25
01030, +42.18933,-72.79774,,FEEDING HILLS,25
01031, +42.35255,-72.20572,,GILBERTVILLE,25
01032, +42.44383,-72.81944,,GOSHEN,25
01033, +42.26228,-72.50408,,GRANBY,25
01034, +42.11274,-72.95200,,GRANVILLE,25
01035, +42.35680,-72.57661,,HADLEY,25
01036, +42.06761,-72.41750,,HAMPDEN,25
01037, +42.34785,-72.22525,P,HARDWICK,25
01038, +42.38726,-72.64308,,HATFIELD,25
01039, +42.35641,-72.68212,,HAYDENVILLE,25
01040, +42.19829,-72.64207,,HOLYOKE,25
01041, +42.17073,-72.60484,P,HOLYOKE,25
01050, +42.31342,-72.90367,,HUNTINGTON,25
01053, +42.35383,-72.70438,,LEEDS,25
